name_1,name_2,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
Hamilton Madison House Inc,Asian American Behavioral Health Servs,253 South Street,,New York,10002,212-720-4520,http://www.hamiltonmadisonhouse.org/,40.710149999999999,-73.990403000000001,,,1,1,,1,,,,,,1,1,1,1,1,,,
NYC/HHC Gouverneur Hosp D T Ctr SN,Geriatric Continuing Day Trt Prog,227 Madison Street,5th Floor Ambulatory Care Pavillion,New York,10002,212-238-7386,www.nyc.gov/html/hhc/gouverneur/html/home/.shtml,40.713208000000002,-73.987786999999997,,1,1,1,,1,,,,,,1,1,1,1,,,,
University Settlement Society of NY,Victory Guild Consultation Center,184 Eldridge Street,,New York,10002,212-453-4522,,40.720647999999997,-73.990683000000004,,1,1,1,,1,1,,,,,1,1,1,1,1,,,
New York Center Addiction Treatment OP,,598 Broadway,2nd Floor,New York,10012,212-966-9537,www.nycats.net,40.725183999999999,-73.996942000000004,1,,,1,,,1,,1,1,1,,1,1,,,,,
Educational Alliance Inc,Pride Site II,232 East Broadway,,New York,10009,646-395-4400,http://www.edalliance.org,40.714590999999999,-73.986716999999999,1,,,,,,1,1,,1,1,,1,1,,1,1,,1
Greenwich House Inc,Greenwich House East OTP,190 Mercer Street,4th Floor,New York,10012,212-677-3400,www.greenwichhouse.org,40.726196999999999,-73.997144000000006,1,,,1,,,,,,,,,1,1,,,,,
Henry Street Settlement,Community Consultation Center,40 Montgomery Street,,New York,10002,212-233-5032,http://www.henrystreet.org/,40.712823000000000,-73.985039999999998,,,1,1,,1,1,1,,,,1,1,1,1,1,1,,
Project Renewal,CD/OP Crisis 50 Med Super,8 East 3rd Street,,New York,10003,212-533-8400,,40.725833000000002,-73.991006999999996,1,,,1,,1,,,,,,,1,1,,1,,,1
Project Renewal,Recovery Center/Outpt Chem Dep Clinic,8 East 3rd Street,,New York,10003,212-533-8400x153,www.projectrenewal.org,40.725833000000002,-73.991006999999996,1,,,1,,,,,,,,,1,1,,,,,
Lower Eastside Service Center,Su Casa Mtar,7 Gouverneur Slip East,,New York,10002,212-566-6820,www.lesc.org,40.711047000000001,-73.983259000000004,1,,,1,,1,,,,,,,1,1,,,,,1
Phoenix House,Career Academy,50 Jay Street,,Brooklyn,11201,718-222-6600,www.phoenixhouse.org,40.703344396342899,-73.986637655761598,1,,,1,,1,,,,,,,1,1,,1,,,1
Project Renewal,Medically Monitored Crisis Service,8 East 3rd Street,4th Floor,New York,10003,212-533-8400-138,www.projectrenewal.org,40.725923000000002,-73.990741999999997,1,,,1,,,,,,,,,1,1,,,,,1
Lower Eastside Service Center,Short Stay Methadone Residence,7 Gouverneur Slip East,,New York,10002,212-566-7590,www.lesc.org,40.710977999999997,-73.983033000000006,1,,,1,,,,,,1,1,,1,1,,,,1,1
Lower Eastside Serv Ctr SuCasa M IR,,7 Gouverneur Slip East,,New York,10002,212-566-3513,www.lesc.org,40.710977999999997,-73.983033000000006,1,,,1,,1,,,,,,,1,1,,,,,1
Lower Eastside Service Center,Pregnant Women and Infants Program,7 Gouverneur Slip East,,New York,10002,212-566-7590,www.lesc.org,40.710977999999997,-73.983033000000006,1,,,1,,,,,1,,1,,1,1,,,,1,1
Hamilton Madison House,Asian American Recovery Services,253 South Street,2nd Floor,New York,10002,212-720-4520-9531,http://www.hamiltonmadison.org/recoveryservcices,40.710852000000003,-73.982449000000003,1,,1,1,,1,,,,,,,1,1,,1,,,
Beth Israel Medical Center,MMTP Clinic,26 Avenue A,,New York,10009,212-420-2078,www.wehealny.org,40.723128000000003,-73.985332000000000,1,,,1,,,,,,,,,1,1,,,,,
Greenwich House Inc,Greenwich House Childrens Safety Proj,27 Barrow Street,2nd Floor,New York,10014,212-242-4140x237,www.greenwichhouse.org,40.732377000000000,-74.003152000000000,,1,1,1,,1,,,,,,1,1,1,1,,,,
Greenwich House Inc,Senior Citizens Hlth/Consultation Ctr,27 Barrow Street,,New York,10014,212-242-4140-252,www.greenwichhouse.org,40.732377000000000,-74.003152000000000,,1,1,1,,1,1,1,,1,,,,1,1,,1,,
Odyssey House Inc,Leadership Center,309-311 East 6th Stree,,New York,10003,212-780-1591,www.odysseyhouseinc.org,40.727255999999997,-73.987671000000006,1,,,1,,,,,,,,,1,1,,,,,1
Bridge Inc,Murray Itzkowitz House,234 East 2nd Street,,New York,10009,212-420-9302,,40.721684000000003,-73.982076000000006,,,1,1,,,1,1,,1,,,,1,,1,1,1,1
Community Access,East Village Access,242 East 2nd Street,,New York,10009,212-780-9008-7204,http://communityaccess.org,40.721567999999998,-73.981786999999997,,1,1,1,,,,,,,,,1,1,1,,,,
Bridge Inc,East House,538 East 6th Street,,New York,10009,212-260-0950,,40.724518000000003,-73.982309000000001,,1,,1,,1,,,,,,,1,1,1,,,,1
UNITAS OP,,57 Saint Marks Place,1st 2nd and 3rd Floors,New York,10003,212-982-3470,www.unitas-nyc.org,40.728307000000001,-73.986378000000002,1,,1,1,,1,,,,,1,,1,1,,1,,,
Saint Marks Institute for,Mental Health/DBA Unitas,57 Saint Marks Place,,New York,10003,212-982-3470,,40.728307000000001,-73.986378000000002,,,1,1,,1,,,,,,1,1,1,1,1,,,
Brooklyn Bureau of Community Services,Metro Club PROS,25 Chapel Street,,Brooklyn,11201,718-596-8960,www.wearebcs.org,40.697327000000001,-73.986135000000004,,1,1,1,,,,,,,,,1,1,1,,,,
Guidance Center of,Brooklyn Heights,25 Chapel Street,Suite 903,Brooklyn,11201,718-875-7510x2800,http://www.ICL.org,40.697333000000000,-73.986052000000001,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
VA NY Harbor Healthcare System,Chapel Street Veterans Healthcare Ctr,40 Flatbush Avenue,Floor 8,Brooklyn,11201,718-439-4300,,40.697474000000000,-73.985356999999993,,,,,,1,1,1,,1,,,1,1,1,,1,,
Realization Center Inc OP 1,,175 Remsen Street,2nd Floor,Brooklyn,11201,718-342-6700,www.realizationcenternyc.com,40.693496000000003,-73.991370000000003,1,,,1,,1,1,1,,,,1,,1,,,1,,
Counseling Services of EDNY,,175 Remsen Street,Suite 900,Brooklyn,11201,718-858-6631,www.csedny.org,40.693496000000003,-73.991370000000003,1,,1,1,,1,,1,,,,1,,1,,1,1,,
Bridge Back to Life Center Inc,,175 Remsen Street,10th Floor Suite 1010,Brooklyn,11201,718-852-5552,www.bridgebacktolife.com,40.693404000000001,-73.991546999999997,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,
TRI Center Inc,Drug Abuse Treatment,175 Remsen Street,,Brooklyn,11201,718-858-4050,www.tricenter.com,40.693293772979203,-73.991596373099000,1,,,1,,1,1,,,,1,,1,1,,1,,,
Educational Alliance Inc,Pride Site II/DA Inpt Rehab Prog,25 Avenue D,,New York,10009,646-395-4400,www.edalliance.org,40.720993000000000,-73.978356000000005,1,,,1,,,1,1,,1,1,,1,1,,1,1,,1
Safe Horizon Inc,Safe Horizon Counseling Center,50 Court Street,Suite 901,Brooklyn,11201,347-328-8110,http://www.safehorizon.org,40.692419999999998,-73.991327999999996,,1,1,1,,1,,,,,,1,1,1,1,1,,,
Counseling Services of EDNY,CS EDNY Outpatient Med Supervised,210 Joralemon Street,3rd Floor,Brooklyn,11201,718-250-5557,www.csedny.org,40.692272000000003,-73.990409000000000,1,,1,1,,1,,,,,,,1,1,,1,,,
Stuyvesant Square Chem Dep Trt Prog IP,,Berstein Pavilion,10 Nathan D Perlman Place 3rd Floor,New York,10003,212-420-4220,http://www.wehealny.org/services/bi_stuysq/,40.732253999999998,-73.987410999999994,1,,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,
Educational Alliance Inc,Pride Site I,371 East 10th Street,,New York,10009,646-395-4440,www.edalliance.org,40.726529999999997,-73.978559000000004,,,,1,,,1,1,,1,1,,1,1,,,1,,1
Lesbian and Gay Community Services Ctr,Center CARE Recovery OP,208 West 13th Street,1st Floor,New York,10011,(646) 556-9296,http://www.gaycenter.org,40.738038000000003,-74.001043999999993,1,,,1,,1,1,,,,,,1,1,,1,,,
Cyler House Behavioral Health Clinic,Housing Works Mental Health Clinic,743-749 East 9th Stree,,New York,10009,212-677-7999-4202,www.housingworks.org,40.724584000000000,-73.976029999999994,,1,1,1,,1,1,,,,,,1,1,1,,,,
Jewish Board of Family/Childrens Servs,Manhattan Day Treatment Center,610 East 12th Street,,New York,10009,212-375-0163,http://jbfcs.org,40.727725999999997,-73.978381999999996,,1,,1,,,,,,,,1,,,,,,,
Saint Vincents Mental Health Services,,66 Boerum Place,,Brooklyn,11201,718-522-6011,,40.689691000000003,-73.990658999999994,,1,1,1,,1,,,,,,1,1,1,1,,,,
NYC/HHC Gouverneur Hosp D T Ctr SNF,Sylvia Del Villard CDTP,540 East 13th Street,,New York,10009,212-387-7400,http://www.clementecenter.org/services.html,40.728940000000001,-73.979264000000001,,1,,1,,1,,,,,,1,1,1,1,1,,,
Institute for Family Health,,16 East 16th Street,,New York,10003,212-633-0800,http://www.institute2000.org,40.736891000000000,-73.991687999999996,,,1,1,,1,,1,,1,,1,1,1,1,1,1,,
Realization Center Inc/Licensed Outpt,Addictions Treatment Program,19 Union Square West,7th Floor,New York,10003,212-627-9600,www.realizationcenternyc.com,40.736119000000002,-73.989440999999999,1,,,1,,1,1,1,,,,1,,1,,,1,,
Puerto Rican Family Institute Inc,Manhattan Mental Health Clinic,145 West 15th Street,5th Floor,New York,10011,212-229-6905,,40.739035999999999,-73.997873999999996,,1,1,1,,1,,,,,,1,1,1,,1,,,
Community Counseling and Mediation Inc,Youth and Family Consultation Center,1 Hoyt Street,Floor 7,Brooklyn,11201,718-802-0666,,40.690247999999997,-73.984999000000002,,1,1,1,,1,1,,,1,,1,1,1,1,,,,
South Beach Psychiatric Center,Baltic Street OP Clinic,250 Baltic Street,,Brooklyn,11201,718-855-3131,,40.686089000000003,-73.994738999999996,,1,1,1,,1,,,,,,,1,1,1,1,,,
Cumberland Diagnostic/Treatment Center,Psychiatry Department,100 North Portland Ave,,Brooklyn,11205,718-963-8332,,40.695075000000003,-73.976560000000006,,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,
NYC/HHC Woodhull Medical MH Ctr,Mobile Crisis Management Team,100 North Portland Ave,,Brooklyn,11205,718-260-7725,,40.695095000000002,-73.976178000000004,,,,,,,,,,,,1,1,1,1,,,,
Cumberland Diagnostic and Trt Center,Division of Psychiatry,100 North Portland Ave,,Brooklyn,11205,718-260-7836,www.hhc.org,40.694919358001698,-73.976153315385602,1,,1,1,,1,,,,,,,1,1,,1,,,
Callen Lorde Community Health Center,Mental Health Clinic,356 West 18th Street,,New York,10011,212-271-7200,www.callen-lorde.org,40.742986000000002,-74.003163000000001,,,1,1,,1,1,,,1,,1,1,1,1,1,,,
Ackerman Institute for the Family,,936 Broadway,Floor 2,New York,10010,212-879-4900,http://www.ackerman.org/,40.740341000000001,-73.989194999999995,,1,,1,,1,1,,,1,,1,1,1,1,,,,
Brooklyn Community Services,,285 Schermerhorn Stree,,Brooklyn,11217,718-310-5600,http://www.wearebcs.org,40.687811000000004,-73.982692000000000,,1,,1,,,,,,,,,1,1,1,,,,
Fifth Avenue Counseling Center Inc,,50 West 23rd Street,9th Floor,New York,10010,212-989-2990,www.tfacc.org,40.742213999999997,-73.991797000000005,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
Brooklyn Hospital Center,9B Detox Unit,121 Dekalb Avenue,,Brooklyn,11201,718-250-8900,www.mytbh.com,40.689886000000001,-73.977705000000000,1,,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,
ICL Walit,,415-417  State Street,Suite 417,Brooklyn,11217,718-625-4635,http://www.iclinc.org,40.686926999999997,-73.982527000000005,,,,,,,,,,,,,1,1,1,,,,1
Spanish Spk Elderly Council/RAICES Inc,Raices Casa Bienestar,460 Atlantic Avenue,,Brooklyn,11217,718-222-1518,http://www.Raices.us,40.686073999999998,-73.983103999999997,,1,1,1,,,1,1,,1,,,1,1,1,,1,,
VA NY Harbor Healthcare System,Manhattan Campus,423 East 23rd Street,,New York,10010,212-686-7500,http://www.nyharbor.va.gov/,40.736317000000000,-73.977114999999998,,,,,,1,1,1,,1,,,1,1,1,,1,1,
Inter Care Ltd,Chemical Dependency Outpatient,51 East 25th Street,Lower Level,New York,10010,212-532-0303,www.inter-care.com,40.741784700991801,-73.986275655735597,1,,,1,,1,1,,,,,,1,1,,,,,
Beth Israel Medical Center,MMTP Clinic 3G,429 2nd Avenue,3rd Floor,New York,10010,212-726-6823,www.wehealny.org,40.739148999999998,-73.980275000000006,1,,1,1,,1,,,,,,,1,1,,,,,
Beth Israel Medical Center,MMTP Clinic 1E,429 2nd Avenue,1st Floor,New York,10010,212-726-6800,,40.739148999999998,-73.980275000000006,1,,,1,,,,,,,,1,1,1,,,,,
Bowery Residents Committee Inc,Chemical Dependency Crisis Center,127 West 25th Street,3rd Floor,New York,10001,212-533-3281,www.brc.org,40.744771000000000,-73.993043999999998,1,,,,,,,,,,,,1,1,,,,,1
El Regreso Foundation Inc,Women Residential Drug Treatment Prog,141 South 3rd Street,,Brooklyn,11211,718-384-6400-6830,,40.712555000000002,-73.961860999999999,1,,1,1,,,,,,1,1,,1,1,,,,,1
Bowery Residents Committee Inc,Fred Cooper SASC,127 West 25th Street,10th Floor,New York,10001,212-529-6320-8716,www.brc.org,40.744920000000000,-73.993031999999999,1,,,1,,,,,,,,,1,1,,,,,
Bowery Residents Committee Inc MMW,,127 West 25th Street,,New York,10001,212-533-3281,http://brc.org,40.744920000000000,-73.993031999999999,1,,,,,,,,,,,,1,1,,,,,1
Bowery Residents Committee Inc MSW,,127 West 25th Street,3rd Floor,New York,10001,212-533-3281,http://brc.org,40.744920000000000,-73.993031999999999,1,,,1,,,,,,,,,1,1,,1,,,1
New Alternatives for Children Inc,NAC Mental Health Clinic,37 West 26th Street,6th Floor,New York,10010,212-696-1550,http://www.NacKidsCan.org,40.744625999999997,-73.990409000000000,,1,,1,,,1,,,1,,1,1,1,,,,,
Beth Israel Medical Center,MMTP Cumberland Clinic,100 Flatbush Avenue,,Brooklyn,11217,718-237-9600,www.mmtp.org,40.685723000000003,-73.978825999999998,1,,1,1,,1,,,,,,,1,1,,,,,
Greenwich House Inc,Chemical Dependency Program,122 West 27th Street,6th Floor,New York,10001,212-691-2900,www.greenwichhouse.org,40.745659000000003,-73.992350000000002,1,,,1,,1,1,,,,,,1,1,,1,,,
El Regreso Foundation Inc,Julio Martinez Ambulatory Care,728 Driggs Avenue,,Brooklyn,11211,718-782-6802,http://www.elregresoinc.com,40.712859000000002,-73.960606999999996,1,,,1,,,,,,,,,1,1,,,,,
HHC/Bellevue Hospital,CD/OP Clinic,462 1st Avenue and 27t,Administration Bldg 2nd Floor Room,New York,10016,212-562-4487,www.med.nyu.edu/substanceabuse,40.739395999999999,-73.976695000000007,1,,1,1,,1,,,,,,,1,1,,1,,,
HHC/Bellevue Hospital,Opiate Treatment Program,462 1st Avenue and 27t,Administration Building 4th Floor,New York,10016,212-562-3201,,40.739418000000001,-73.976699999999994,1,,1,1,,1,,,,1,,,1,1,,1,,,
NYC/HHC Bellevue Hospital Center,Adolescent Day Hospital,462 First Avenue,,New York,10016,212-562-8959,www.nychhc.org/bellevue,40.738619000000000,-73.975273000000001,,,1,1,,1,1,,,,,1,1,1,1,1,,1,
Bellevue Hospital Center,Department of Psychiatry,462 1st Avenue,,New York,10016,212-562-4601,,40.738619000000000,-73.975273000000001,,,1,1,,1,,,,1,,1,1,1,1,1,,1,
Bliss Poston the Second Wind,Chemical Dependency Outpatient,246 5th Avenue,Suite 500,New York,10001,212-481-1055,www.thesecondwind.com,40.744751999999998,-73.987813000000003,1,,1,1,,1,,,,,,,1,1,,,,,
El Regreso Foundation Inc,Chemical Dependency Intensive Res,189-191 South 2nd Stre,,Brooklyn,11211,718-534-6886,,40.712625000000003,-73.959926999999993,1,,,1,,,,1,,1,,,1,1,,1,1,,1
Hazelden/New York OP,,322 8th Avenue,12th Floor,New York,10001,212-420-9520,www.hazelden.org,40.747253000000001,-73.996689000000003,1,,,,,1,,,,,,,1,1,,,,,
Bellevue Hospital Center,Detoxification Service/20 South,462 1st Avenue,,New York,10016,212-562-4623,,40.739378000000002,-73.975624999999994,1,,1,1,,1,,,,,,,1,1,,1,,1,
NYC/HHC Bellevue Hospital Center,ACT Program,462 First Avenue,Buildings C and D 2nd Floor,New York,10016,212-562-4734,,40.739378000000002,-73.975624999999994,,1,,1,,,1,1,,1,,,1,1,1,1,1,,
SUS Mental Health Programs Inc,SUS SH/PC Long Stay Kings Comm Servs,305 7th Avenue,Floor 10,New York,10001,212-633-6900,http://www.sus.org,40.746732999999999,-73.993419000000003,,,1,1,,1,1,1,,1,,,,1,,,1,,1
SUS Mental Health Programs Inc,SUS SH/Members Club Kings Comm Serv,305 7th Avenue,Floor 10,New York,10001,212-633-6900,http://sus.org,40.746732999999999,-73.993419000000003,,,1,1,,1,,1,,,,,1,1,1,1,1,,1
Bridging Access to Care Inc,Bridge to Recovery,260 Broadway,4th Floor,Brooklyn,11213,347-505-5120,www.batf.net,40.708692999999997,-73.959569999999999,,1,1,1,,1,,,,1,,,1,1,1,1,,,
Shiloh Consulting LLC,,214 West 29th Street,Suite 703,New York,10001,212-564-7631,,40.748077000000002,-73.994027000000003,,1,1,1,,1,,,,,,,1,1,1,,,,
Blanton Peale Counseling Center,Blanton Peale Institute,7-9 West 30th Street,,New York,10001,212-725-7850,http://blantonpeale.org,40.746473000000002,-73.987097000000006,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
Hudson Guild Counseling Service,Hudson Guild Paula B Balser Csl Servs,441 West 26th Street,,New York,10001,212-760-9800-3018,www.hudsonguild.org,40.749481000000003,-74.001581999999999,,1,1,1,,1,,,,,,1,1,1,1,1,,,
Community Counseling Mediation Inc,McMurray Clinic,115 West 31st Street,Floor 5,New York,10001,212-564-6006,,40.748241999999998,-73.989986999999999,,1,1,1,,1,1,,,,,,1,1,1,1,,,
Parallax Center Inc,Ambulatory Detox and Continuing Care,145 East 32nd Street,6th Floor,New York,10016,212-779-9207,www.parallaxcenter.com,40.744984644617901,-73.980422183616895,1,,,1,,1,1,1,,1,1,,1,1,,1,1,,
Parallax Center Inc,Outpatient Services,145 East 32nd Street,6th Floor,New York,10016,212-779-9207,www.parallaxcenter.com,40.745083999999999,-73.980041000000000,1,,,1,,1,1,1,,1,1,,1,1,,1,1,,
Visiting Nurse Service of New York,Visiting Nurse Manhattan ACT Program,1250 Broadway,Floor 22,New York,10001,212-609-7841-29,,40.748134999999998,-73.988038000000003,,,1,1,,,1,1,,1,,,1,1,1,,1,,
New Directions Alcohol and,Substance Abuse Treatment Program,202-206 Flatbush Avenu,,Brooklyn,11217,718-398-0800,www.newdirectionsbrooklyn.com,40.681376000000000,-73.975718000000001,1,,1,1,,1,,,,1,1,1,1,1,,,,,
New York University Medical Center,,550 1st Avenue,,New York,10016,212-725-9105,http://psych.med.nyu.edu/patient-care/inpatient-,40.743344999999998,-73.974079000000003,,1,1,1,,1,,,,,,,,1,1,1,,1,
Allied Service Center NYC,Queens Opioid Treatment Clinic Otp 3,2036 Amsterdam Avenue,,NEW YORK,10032,212-645-0875,http://www.allied-services.org/,40.835269,-73.9402,,,1,1,,1,1,,,1,,,1,,,,,,
Narco Freedom Inc,Methadone Maintenance Trt Prog (MMTP),561 Court Street,,Brooklyn,11231,718-802-1111,www.narcofreedom.com,40.673363999999999,-73.999954000000002,1,,1,1,,,,,,,1,,1,1,,,,,
Beth Israel Medical Center,Ny Center Addiction Treatment Op 1,25 12th Street,,BROOKLYN,11215,718-965-7900,http://www.bethisraelny.org/,40.671834,-73.9970,1,1,,1,,,,,,,,,1,,,,,,
Narco Freedom Inc,Alternatives II/CD Outpatient,561 Court Street,,Brooklyn,11231,718-246-7430,www.narcofreedom.com,40.673363999999999,-73.999954000000002,1,,1,1,,1,1,,,,,,1,1,,1,,,
New York Center Addiction Treatment,Bleuler Cd Recovery Services Op,37-20 74Th Street,,QUEENS,11372,212-966-9537,http://nycats.net/,40.748277,-73.8917,1,,1,1,,1,,,,,,,1,,,,,,
"Bleuler Psychotherapy Center, Inc.",Bleuler Cd Recovery Services Op,104-70 Queens Boulevard,,QUEENS,11375,718-275-6010,http://www.bleulerpsychotherapycenter.org/,40.723369,-73.8482,,1,1,1,,1,,,,,,1,1,1,1,,,,
"Safe Space NYC, Inc.",Family Life Clinic,133-25 Guy R. Brewer Boulevard,,QUEENS,11434,718-206-3440,http://www.safespacenyc.org,40.673768,-73.7759,,,1,1,,1,,,,,,1,1,1,,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,67-09 108th Street,,QUEENS,11375,718-224-0566,http://www.sfy.org/,40.728701,-73.8474,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,208-11 26th Avenue,,QUEENS,11360,718-224-0566,http://www.sfy.org/,40.776380,-73.7837,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,92-33 170th Street,,QUEENS,11433,718-657-6540,http://www.sfy.org/,40.706193,-73.7891,1,1,,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",Service Program for Older People PROS,188 W. 88th Street,,NEW YORK,10024,212-787-7120,http://www.spop.org/,40.788717,-73.9734,1,1,1,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,225 E. 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.782964,-73.9500,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,465 Grand Street,,NEW YORK,10012,212-787-7120,http://www.spop.org/,40.715132,-73.9840,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,331 E. 12th Street,,NEW YORK,10003,212-787-7120,http://www.spop.org/,40.730657,-73.9850,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,72 Columbia Street,,NEW YORK,10002,212-787-7120,http://www.spop.org/,40.717006,-73.9802,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,1484 1st Avenue,,NEW YORK,10075,212-787-7120,http://www.spop.org/,40.771243,-73.9534,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,312 E. 109th Street,,NEW YORK,10029,212-787-7120,http://www.spop.org/,40.792306,-73.9404,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,415 East 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.780904,-73.9451,1,1,,,,1,,,,,,,,,1,,,,
South Beach Psychiatric Center,Heights Hill Clinic,25 Flatbush Avenue,,BROOKLYN,11217,718-875-1420,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.687958,-73.9802,,1,1,1,,1,1,,,,,,1,1,,,,,
South Beach Psychiatric Center,Mapleton Clinic,1083 Mcdonald Avenue,,BROOKLYN,11230,718-421-7444,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.626853,-73.9764,,1,1,1,,1,,,,,,,1,1,1,,,,
St. Luke's-Roosevelt Hospital center,SRL Department Of Psychiatry And Behavioral Health,347 West 37th street,,NEW YORK,10018,212-523-6676,http://www.stlukeshospitalnyc.org/index.aspx,40.754674,-73.9934,1,1,,,1,,,,,,,,1,1,1,,,,
Goddard-Riverside Community Center,The Other Place,264 West 87th Street,,NEW YORK,10024,212-799-7171,http://www.goddard.org/,40.789190,-73.9765,,1,,1,,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",PAL Queens Peer Advocacy,33-24 Northern Boulevard,2nd Floor,QUEENS,11101,347-649-3850,http://www.goodwillnynj.org/,40.752002,-73.9303,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Brooklyn Assisted Competitive Employment ( BACE),2559 West 13th Street,,BROOKLYN,11223,718-372-0371,http://www.goodwillnynj.org/,40.585493,-73.9820,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Bronx Assisted Competitive Employment,384 East 149th Street,6th Floor Room 622,BRONX,10455,718-401-2555,http://www.goodwillnynj.org/,40.816243,-73.9183,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",CitiView Psychosocial Clubhouse,33-24A Northern Boulevard,3rd Floor,QUEENS,11101,718-361-7030,http://www.goodwillnynj.org/,40.752002,-73.9303,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Seamark Center Clubhouse,2559 West 13th Street,,BROOKLYN,11223,718-372-0450,http://www.goodwillnynj.org/,40.585493,-73.9820,,1,,,1,,,,,,,,1,1,1,,,,
